bmr,assumption,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,118,0.214526695,0.219425108,0.252348776,0.191136289,0.178964763,0.312174082,0.274157568,0.20653121,0.252205937
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,119,0.196012042,0.205891683,0.226329224,0.152332361,0.14645388,0.188754513,0.245531029,0.185433472,0.26814167
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,120,0.211290243,0.23318152,0.335429649,0.17968383,0.275236392,0.234829993,0.281022238,0.240201338,0.259855348
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,121,0.234303534,0.233054935,0.261092422,0.206764186,0.585470092,0.259356696,0.245548255,0.213269123,0.246742888
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,122,0.238418623,0.208737314,0.267589969,0.119356697,0.164198311,0.262853322,0.307504502,0.167897656,0.268784644
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,123,0.23096631,0.214977674,0.21918695,0.197096657,0.25799844,0.176545838,0.243271546,0.226574089,0.308499313
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,124,0.231693883,0.219698802,0.227159119,0.16463974,0.145468072,0.28132527,0.333971763,0.218113053,0.270409931
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,125,0.212084726,0.224271872,0.212947931,0.206275874,0.208058885,0.284896857,0.342097977,0.243641749,0.237389188
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,126,0.209738836,0.191383764,0.322370912,0.120450758,0.160206186,0.320439359,0.303617188,0.207478528,0.30230128
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,127,0.206448142,0.207045439,0.243305627,0.198497447,0.205188781,0.225318917,0.283624819,0.25668823,0.279053284
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,128,0.200726166,0.214303631,0.209215374,0.187307214,0.441415831,0.200446794,0.282851182,0.22925021,0.253655113
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,129,0.225919146,0.202975337,0.245440102,0.217593133,0.20046279,0.264870911,0.271222155,0.162456234,0.257474971
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,130,0.214872689,0.202674089,0.289515591,0.203368986,0.255222323,0.162753978,0.323954916,0.210906994,0.246884093
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,131,0.22608364,0.22393539,0.251491389,0.147107635,0.288829266,0.266389843,0.318666985,0.212811667,0.281475195
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,132,0.214049251,0.24273659,0.298398742,0.113002964,0.589091031,0.127201462,0.261894784,0.178751143,0.229404853
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,133,0.222995839,0.220636544,0.270421828,0.138252978,0.278491264,0.192554676,0.342252923,0.231275566,0.252165411
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,134,0.225247173,0.202028379,0.216173714,0.222642407,0.260965728,0.187408835,0.377570316,0.189507087,0.251755638
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,135,0.231726629,0.216283396,0.25444956,0.121447055,0.224366164,0.295548035,0.28679967,0.218407032,0.23032443
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,136,0.24357292,0.207083334,0.284860486,0.193150513,0.140757023,0.223792875,0.345236106,0.253292363,0.243139906
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,137,0.217349269,0.217685107,0.265256181,0.215456347,0.311699792,0.213911605,0.279700401,0.239339641,0.267005035
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,138,0.253839327,0.228805443,0.251831086,0.115114352,0.226518778,0.203353906,0.357598045,0.19659755,0.26172208
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,139,0.229698274,0.244992561,0.215998972,0.164999616,0.1982315,0.357383823,0.290835719,0.237318563,0.263326096
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,140,0.221416063,0.223743314,0.228559943,0.188418505,0.109556112,0.313365041,0.263420157,0.204956735,0.248654659
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,141,0.207428692,0.220134473,0.242323275,0.202039538,0.271159023,0.212822342,0.273378846,0.185782917,0.28107451
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,142,0.223472663,0.197585787,0.275717013,0.127902115,0.538041316,0.271145813,0.261048716,0.186742385,0.270169677
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,143,0.222425903,0.224480969,0.333930639,0.222542228,0.172641528,0.238319992,0.261572022,0.189108717,0.239697898
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,144,0.211222678,0.239290448,0.292447483,0.150378758,0.560010516,0.349295307,0.332510229,0.224652759,0.271690476
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,145,0.24443518,0.222157432,0.246786621,0.156662038,0.337060172,0.246568462,0.282811234,0.182590743,0.272819575
"Central tendency: Relative, 0.05: Adversity: 0.05,",Log Normal,146,0.216599282,0.215028012,0.2309563,0.190545465,0.306587558,0.341726985,0.393346566,0.207228542,0.271711842
